obcina,regija,leto,spol,izobrazba,stevilo,prebivalci,odstotek
Vuzenica,Koroška,2019,Ženske, Osnovnošolska ali manj - Skupaj,296,1316,22.49
Vuzenica,Koroška,2019,Ženske, Srednješolska - Skupaj,568,1316,43.16
Vuzenica,Koroška,2019,Ženske," Višješolska, visokošolska - Skupaj",261,1316,19.83
Vuzenica,Koroška,2019,Ženske, Visokošolska 1. stopnje ipd.,145,1316,11.02
Vuzenica,Koroška,2019,Ženske, Visokošolska 2. stopnje ipd.,108,1316,8.21
Vuzenica,Koroška,2019,Ženske, Visokošolska 3. stopnje ipd.,8,1316,0.61
Vuzenica,Koroška,2020,Moški, Osnovnošolska ali manj - Skupaj,218,1338,16.29
Vuzenica,Koroška,2020,Moški, Srednješolska - Skupaj,759,1338,56.73
Vuzenica,Koroška,2020,Moški," Višješolska, visokošolska - Skupaj",154,1338,11.51
Vuzenica,Koroška,2020,Moški, Visokošolska 1. stopnje ipd.,84,1338,6.28
Vuzenica,Koroška,2020,Moški, Visokošolska 2. stopnje ipd.,63,1338,4.71
Vuzenica,Koroška,2020,Moški, Visokošolska 3. stopnje ipd.,7,1338,0.52
Vuzenica,Koroška,2020,Ženske, Osnovnošolska ali manj - Skupaj,284,1314,21.61
Vuzenica,Koroška,2020,Ženske, Srednješolska - Skupaj,571,1314,43.46
Vuzenica,Koroška,2020,Ženske," Višješolska, visokošolska - Skupaj",263,1314,20.02
Vuzenica,Koroška,2020,Ženske, Visokošolska 1. stopnje ipd.,146,1314,11.11
Vuzenica,Koroška,2020,Ženske, Visokošolska 2. stopnje ipd.,110,1314,8.37
Vuzenica,Koroška,2020,Ženske, Visokošolska 3. stopnje ipd.,7,1314,0.53
Zagorje ob Savi,Zasavska,2012,Moški, Osnovnošolska ali manj - Skupaj,1695,8353,20.29
Zagorje ob Savi,Zasavska,2012,Moški, Srednješolska - Skupaj,4505,8353,53.93
Zagorje ob Savi,Zasavska,2012,Moški," Višješolska, visokošolska - Skupaj",885,8353,10.59
Zagorje ob Savi,Zasavska,2012,Moški, Visokošolska 1. stopnje ipd.,451,8353,5.4
Zagorje ob Savi,Zasavska,2012,Moški, Visokošolska 2. stopnje ipd.,386,8353,4.62
Zagorje ob Savi,Zasavska,2012,Moški, Visokošolska 3. stopnje ipd.,48,8353,0.57
Zagorje ob Savi,Zasavska,2012,Ženske, Osnovnošolska ali manj - Skupaj,2756,8655,31.84
Zagorje ob Savi,Zasavska,2012,Ženske, Srednješolska - Skupaj,3419,8655,39.5
Zagorje ob Savi,Zasavska,2012,Ženske," Višješolska, visokošolska - Skupaj",1272,8655,14.7
Zagorje ob Savi,Zasavska,2012,Ženske, Visokošolska 1. stopnje ipd.,654,8655,7.56
Zagorje ob Savi,Zasavska,2012,Ženske, Visokošolska 2. stopnje ipd.,561,8655,6.48
Zagorje ob Savi,Zasavska,2012,Ženske, Visokošolska 3. stopnje ipd.,57,8655,0.66
Zagorje ob Savi,Zasavska,2013,Moški, Osnovnošolska ali manj - Skupaj,1617,8311,19.46
Zagorje ob Savi,Zasavska,2013,Moški, Srednješolska - Skupaj,4509,8311,54.25
Zagorje ob Savi,Zasavska,2013,Moški," Višješolska, visokošolska - Skupaj",904,8311,10.88
Zagorje ob Savi,Zasavska,2013,Moški, Visokošolska 1. stopnje ipd.,469,8311,5.64
Zagorje ob Savi,Zasavska,2013,Moški, Visokošolska 2. stopnje ipd.,387,8311,4.66
